id,predicted_priority_name,error_direction,second_round_tags,severity,product,component,summary,related_top1_priority,related_top3_avg_priority,related_top3_p1_rate,related_top3_p2_rate,related_top3_p3_rate,stack_exception_signal,high_impact_signal,weak_text_signal,severity_normal_or_lower,product_platform_or_jdt,component_ui_debug_core
3440,P3 Major,P2_to_P3_too_light,normal/lower severity pulled to P3; missing obvious high-impact text; related reports lean P3; platform/jdt boundary case,normal,jdt,core,classfile comparator should be able to ignore order (1gl2i7e),3.0,2.6666666666666665,0.0,0.3333333333333333,0.6666666666666666,False,False,True,True,True,True
5003,P3 Major,P2_to_P3_too_light,normal/lower severity pulled to P3; missing obvious high-impact text; related reports lean P3; platform/jdt boundary case,normal,jdt,core,review javabuilder cancelation handling,3.0,3.0,0.0,0.0,1.0,False,False,True,True,True,True
7710,P3 Major,P2_to_P3_too_light,normal/lower severity pulled to P3; missing obvious high-impact text; related reports lean P3; platform/jdt boundary case,normal,platform,user assistance,file->print should be enabled in help perspective,3.0,3.0,0.0,0.0,1.0,False,False,True,True,True,False
1639,P3 Major,P2_to_P3_too_light,normal/lower severity pulled to P3; platform/jdt boundary case,enhancement,jdt,debug,run-in package can't be deleted (1gf7rqy),2.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,False,False,False,True,True,True
1592,P3 Major,P2_to_P3_too_light,normal/lower severity pulled to P3; related reports lean P3; install/update wording is ambiguous; platform/jdt boundary case,minor,platform,debug,debugplugin must allow for null elements in updatehistory() (1gei3c1),3.0,3.6666666666666665,0.0,0.0,0.6666666666666666,False,False,False,True,True,True
1864,P3 Major,P2_to_P3_too_light,normal/lower severity pulled to P3; related reports lean P3; install/update wording is ambiguous; platform/jdt boundary case,enhancement,platform,ui,[prefereces] preference to restart in fresh state (1g7hzja),3.0,2.6666666666666665,0.0,0.3333333333333333,0.6666666666666666,False,False,False,True,True,True
3372,P3 Major,P2_to_P3_too_light,normal/lower severity pulled to P3; related reports lean P3; install/update wording is ambiguous; platform/jdt boundary case,normal,jdt,core,markers for build path not updated on (re-) build (1gjy69s),3.0,3.0,0.0,0.0,1.0,False,False,False,True,True,True
2915,P3 Major,P2_to_P3_too_light,normal/lower severity pulled to P3; related reports lean P3; platform/jdt boundary case,normal,platform,ui,exception on d'n'd move in the navigator (1gla4k7),3.0,2.6666666666666665,0.0,0.3333333333333333,0.6666666666666666,True,False,False,True,True,True
3245,P3 Major,P2_to_P3_too_light,normal/lower severity pulled to P3; related reports lean P3; platform/jdt boundary case,normal,jdt,core,sub folders with dot not visible in packages view (1gcoh17),3.0,3.0,0.0,0.0,1.0,True,False,False,True,True,True
3348,P3 Major,P2_to_P3_too_light,normal/lower severity pulled to P3; related reports lean P3; platform/jdt boundary case,normal,jdt,ui,dcr: code formatter enhancement (1giyhqr),3.0,3.0,0.0,0.0,1.0,False,True,False,True,True,True
